codes,description
217964e11,Methotrexate 2.5mg tablets (Waymade Healthcare Plc)
217963e11,Methotrexate 2.5mg tablets (Waymade Healthcare Plc)
222223e11,Methotrexate 2.5mg tablets (Teva UK Ltd)
222224e11,Methotrexate 2.5mg tablets (Teva UK Ltd)
24136e12,Methotrexate 2.5mg tablets (Morningside Healthcare Ltd)
241361e11,Methotrexate 2.5mg tablets (Morningside Healthcare Ltd)
241363e11,Methotrexate 2.5mg tablets (Morningside Healthcare Ltd)
243816e11,Methotrexate 2.5mg tablets (DE Pharmaceuticals)
243819e11,Methotrexate 2.5mg tablets (DE Pharmaceuticals)
243818e11,Methotrexate 2.5mg tablets (DE Pharmaceuticals)
243817e11,Methotrexate 2.5mg tablets (DE Pharmaceuticals)
299189e11,Methotrexate 2.5mg tablets (Sigma Pharmaceuticals Plc)
29919e12,Methotrexate 2.5mg tablets (Sigma Pharmaceuticals Plc)
349566e11,Methotrexate 2.5mg tablets (Almus Pharmaceuticals Ltd)
349567e11,Methotrexate 2.5mg tablets (Almus Pharmaceuticals Ltd)
372732e11,Methotrexate 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
372733e11,Methotrexate 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
39041e12,Methotrexate 2.5mg tablets (Medihealth (Northern) Ltd)
390411e11,Methotrexate 2.5mg tablets (Medihealth (Northern) Ltd)
390413e11,Methotrexate 2.5mg tablets (Medihealth (Northern) Ltd)
390412e11,Methotrexate 2.5mg tablets (Medihealth (Northern) Ltd)
326875008,Methotrexate 10mg tablets
959011000000000,Methotrexate 10mg tablets
216788e11,Methotrexate 10mg tablets
928011000000000,Methotrexate 10mg tablets (A A H Pharmaceuticals Ltd)
194561e10,Methotrexate 10mg tablets (A A H Pharmaceuticals Ltd)
216789e11,Methotrexate 10mg tablets (A A H Pharmaceuticals Ltd)
191111000000000,Methotrexate 10mg tablets (Pfizer Ltd)
194591e10,Methotrexate 10mg tablets (Pfizer Ltd)
322011000000000,Maxtrex 10mg tablets (Pfizer Ltd)
194621e10,Maxtrex 10mg tablets (Pfizer Ltd)
136411000000000,Methotrexate 10mg tablets (Alliance Healthcare (Distribution) Ltd)
194641e10,Methotrexate 10mg tablets (Alliance Healthcare (Distribution) Ltd)
110266e11,Methotrexate 10mg tablets (Wockhardt UK Ltd)
110267e11,Methotrexate 10mg tablets (Wockhardt UK Ltd)
149639e11,Methotrexate 10mg tablets (Orion Pharma (UK) Ltd)
14964e12,Methotrexate 10mg tablets (Orion Pharma (UK) Ltd)
151094e11,Methotrexate 10mg tablets (Sigma Pharmaceuticals Plc)
151098e11,Methotrexate 10mg tablets (Sigma Pharmaceuticals Plc)
203108e11,Methotrexate 10mg tablets (Sandoz Ltd)
203109e11,Methotrexate 10mg tablets (Sandoz Ltd)
217965e11,Methotrexate 10mg tablets (Waymade Healthcare Plc)
217966e11,Methotrexate 10mg tablets (Waymade Healthcare Plc)
222221e11,Methotrexate 10mg tablets (Teva UK Ltd)
222222e11,Methotrexate 10mg tablets (Teva UK Ltd)
241357e11,Methotrexate 10mg tablets (Morningside Healthcare Ltd)
241358e11,Methotrexate 10mg tablets (Morningside Healthcare Ltd)
243814e11,Methotrexate 10mg tablets (DE Pharmaceuticals)
243815e11,Methotrexate 10mg tablets (DE Pharmaceuticals)
330057007,Leflunomide 10mg tablets
120641e10,Leflunomide 10mg tablets
156202e11,Leflunomide 10mg tablets
499111000000000,Arava 10mg tablets (Sanofi)
218511e10,Arava 10mg tablets (Sanofi)
181727e11,Leflunomide 10mg tablets (medac UK)
181728e11,Leflunomide 10mg tablets (medac UK)
18342e12,Leflunomide 10mg tablets (Alliance Healthcare (Distribution) Ltd)
183421e11,Leflunomide 10mg tablets (Alliance Healthcare (Distribution) Ltd)
187568e11,Leflunomide 10mg tablets (A A H Pharmaceuticals Ltd)
187571e11,Leflunomide 10mg tablets (A A H Pharmaceuticals Ltd)
188104e11,Leflunomide 10mg tablets (Teva UK Ltd)
188125e11,Leflunomide 10mg tablets (Teva UK Ltd)
197831e11,Leflunomide 10mg tablets (Actavis UK Ltd)
197833e11,Leflunomide 10mg tablets (Actavis UK Ltd)
202902e11,Leflunomide 10mg tablets (Sandoz Ltd)
202903e11,Leflunomide 10mg tablets (Sandoz Ltd)
208395e11,Leflunomide 10mg tablets (Aspire Pharma Ltd)
208397e11,Leflunomide 10mg tablets (Aspire Pharma Ltd)
209144e11,Leflunomide 10mg tablets (Zentiva)
209145e11,Leflunomide 10mg tablets (Zentiva)
22063e12,Leflunomide 10mg tablets (Waymade Healthcare Plc)
220631e11,Leflunomide 10mg tablets (Waymade Healthcare Plc)
241167e11,Leflunomide 10mg tablets (Morningside Healthcare Ltd)
241168e11,Leflunomide 10mg tablets (Morningside Healthcare Ltd)
243631e11,Leflunomide 10mg tablets (DE Pharmaceuticals)
243632e11,Leflunomide 10mg tablets (DE Pharmaceuticals)
298844e11,Leflunomide 10mg tablets (Sigma Pharmaceuticals Plc)
298845e11,Leflunomide 10mg tablets (Sigma Pharmaceuticals Plc)
30219e12,Leflunomide 10mg tablets (Mawdsley-Brooks & Company Ltd)
302191e11,Leflunomide 10mg tablets (Mawdsley-Brooks & Company Ltd)
335924e11,Leflunomide 10mg tablets (Mylan)
335927e11,Leflunomide 10mg tablets (Mylan)
375743e11,Leflunomide 10mg tablets (Relonchem Ltd)
375744e11,Leflunomide 10mg tablets (Relonchem Ltd)
390121e11,Leflunomide 10mg tablets (Medihealth (Northern) Ltd)
390122e11,Leflunomide 10mg tablets (Medihealth (Northern) Ltd)
330059005,Leflunomide 100mg tablets
131721e10,Leflunomide 100mg tablets
404111000000000,Arava 100mg tablets (Sanofi)
218651e10,Arava 100mg tablets (Sanofi)
330058002,Leflunomide 20mg tablets
113291e10,Leflunomide 20mg tablets
137721e11,Leflunomide 20mg tablets
62411000000000,Arava 20mg tablets (Sanofi)
218681e10,Arava 20mg tablets (Sanofi)
181729e11,Leflunomide 20mg tablets (medac UK)
18173e12,Leflunomide 20mg tablets (medac UK)
183422e11,Leflunomide 20mg tablets (Alliance Healthcare (Distribution) Ltd)
183423e11,Leflunomide 20mg tablets (Alliance Healthcare (Distribution) Ltd)
187572e11,Leflunomide 20mg tablets (A A H Pharmaceuticals Ltd)
187573e11,Leflunomide 20mg tablets (A A H Pharmaceuticals Ltd)
188126e11,Leflunomide 20mg tablets (Teva UK Ltd)
188127e11,Leflunomide 20mg tablets (Teva UK Ltd)
197835e11,Leflunomide 20mg tablets (Actavis UK Ltd)
197836e11,Leflunomide 20mg tablets (Actavis UK Ltd)
202904e11,Leflunomide 20mg tablets (Sandoz Ltd)
202905e11,Leflunomide 20mg tablets (Sandoz Ltd)
208398e11,Leflunomide 20mg tablets (Aspire Pharma Ltd)
2084e13,Leflunomide 20mg tablets (Aspire Pharma Ltd)
209146e11,Leflunomide 20mg tablets (Zentiva)
209147e11,Leflunomide 20mg tablets (Zentiva)
220632e11,Leflunomide 20mg tablets (Waymade Healthcare Plc)
220634e11,Leflunomide 20mg tablets (Waymade Healthcare Plc)
241169e11,Leflunomide 20mg tablets (Morningside Healthcare Ltd)
24117e12,Leflunomide 20mg tablets (Morningside Healthcare Ltd)
243633e11,Leflunomide 20mg tablets (DE Pharmaceuticals)
243635e11,Leflunomide 20mg tablets (DE Pharmaceuticals)
298846e11,Leflunomide 20mg tablets (Sigma Pharmaceuticals Plc)
298847e11,Leflunomide 20mg tablets (Sigma Pharmaceuticals Plc)
335928e11,Leflunomide 20mg tablets (Mylan)
335929e11,Leflunomide 20mg tablets (Mylan)
375745e11,Leflunomide 20mg tablets (Relonchem Ltd)
375746e11,Leflunomide 20mg tablets (Relonchem Ltd)
390123e11,Leflunomide 20mg tablets (Medihealth (Northern) Ltd)
390124e11,Leflunomide 20mg tablets (Medihealth (Northern) Ltd)
327090002,Ciclosporin 10mg capsules
113441e10,Ciclosporin 10mg capsules
536521e10,Ciclosporin 10mg capsules
303511000000000,Neoral 10mg capsules (Novartis Pharmaceuticals UK Ltd)
235451e10,Neoral 10mg capsules (Novartis Pharmaceuticals UK Ltd)
536541e10,Neoral 10mg capsules (Novartis Pharmaceuticals UK Ltd)
299346e11,Vanquoral 10mg capsules (Teva UK Ltd)
30737e12,Vanquoral 10mg capsules (Teva UK Ltd)
299352e11,Vanquoral 10mg capsules (Teva UK Ltd)
327082002,Ciclosporin 25mg capsules
116911e10,Ciclosporin 25mg capsules
557201e10,Ciclosporin 25mg capsules
347811000000000,Sandimmun 25mg capsules (Novartis Pharmaceuticals UK Ltd)
235461e10,Sandimmun 25mg capsules (Novartis Pharmaceuticals UK Ltd)
660811000000000,Neoral 25mg capsules (Novartis Pharmaceuticals UK Ltd)
235471e10,Neoral 25mg capsules (Novartis Pharmaceuticals UK Ltd)
163065e11,Deximune 25mg capsules (Dexcel-Pharma Ltd)
163066e11,Deximune 25mg capsules (Dexcel-Pharma Ltd)
165505e11,Ciclosporin 25mg capsules (A A H Pharmaceuticals Ltd)
165506e11,Ciclosporin 25mg capsules (A A H Pharmaceuticals Ltd)
176669e11,Capimune 25mg capsules (Mylan)
17667e12,Capimune 25mg capsules (Mylan)
178566e11,Ciclosporin 25mg capsules (Phoenix Healthcare Distribution Ltd)
178567e11,Ciclosporin 25mg capsules (Phoenix Healthcare Distribution Ltd)
193773e11,Capsorin 25mg capsules (Morningside Healthcare Ltd)
193774e11,Capsorin 25mg capsules (Morningside Healthcare Ltd)
212631e11,Ciclosporin 25mg capsules (Sigma Pharmaceuticals Plc)
212632e11,Ciclosporin 25mg capsules (Sigma Pharmaceuticals Plc)
218357e11,Ciclosporin 25mg capsules (Cubic Pharmaceuticals Ltd)
218358e11,Ciclosporin 25mg capsules (Cubic Pharmaceuticals Ltd)
224083e11,Ciclosporin 25mg capsules (DE Pharmaceuticals)
224084e11,Ciclosporin 25mg capsules (DE Pharmaceuticals)
226042e11,Ciclosporin 25mg capsules (Colorama Pharmaceuticals Ltd)
226043e11,Ciclosporin 25mg capsules (Colorama Pharmaceuticals Ltd)
234284e11,Ciclosporin 25mg capsules (J M McGill Ltd)
234285e11,Ciclosporin 25mg capsules (J M McGill Ltd)
239365e11,Ciclosporin 25mg capsules (Niche Pharma Ltd)
239368e11,Ciclosporin 25mg capsules (Niche Pharma Ltd)
241577e11,Ciclosporin 25mg capsules (Ethigen Ltd)
241578e11,Ciclosporin 25mg capsules (Ethigen Ltd)
245199e11,Ciclosporin 25mg capsules (Mawdsley-Brooks & Company Ltd)
2452e13,Ciclosporin 25mg capsules (Mawdsley-Brooks & Company Ltd)
25694e12,Ciclosporin 25mg capsules (Icarus Pharmaceuticals Ltd)
256942e11,Ciclosporin 25mg capsules (Icarus Pharmaceuticals Ltd)
260212e11,Ciclosporin 25mg capsules (Ennogen Healthcare Ltd)
260217e11,Ciclosporin 25mg capsules (Ennogen Healthcare Ltd)
281227e11,Ciclosporin 25mg capsules (Pharma-z Ltd)
281228e11,Ciclosporin 25mg capsules (Pharma-z Ltd)
283359e11,Vanquoral 25mg capsules (Teva UK Ltd)
283361e11,Vanquoral 25mg capsules (Teva UK Ltd)
327085000,Ciclosporin 50mg capsules
132741e10,Ciclosporin 50mg capsules
277288e11,Ciclosporin 50mg capsules
638611000000000,Sandimmun 50mg capsules (Novartis Pharmaceuticals UK Ltd)
235481e10,Sandimmun 50mg capsules (Novartis Pharmaceuticals UK Ltd)
319211000000000,Neoral 50mg capsules (Novartis Pharmaceuticals UK Ltd)
235491e10,Neoral 50mg capsules (Novartis Pharmaceuticals UK Ltd)
163067e11,Deximune 50mg capsules (Dexcel-Pharma Ltd)
163068e11,Deximune 50mg capsules (Dexcel-Pharma Ltd)
165507e11,Ciclosporin 50mg capsules (A A H Pharmaceuticals Ltd)
165508e11,Ciclosporin 50mg capsules (A A H Pharmaceuticals Ltd)
176656e11,Capimune 50mg capsules (Mylan)
176657e11,Capimune 50mg capsules (Mylan)
178568e11,Ciclosporin 50mg capsules (Phoenix Healthcare Distribution Ltd)
178569e11,Ciclosporin 50mg capsules (Phoenix Healthcare Distribution Ltd)
193771e11,Capsorin 50mg capsules (Morningside Healthcare Ltd)
193772e11,Capsorin 50mg capsules (Morningside Healthcare Ltd)
212633e11,Ciclosporin 50mg capsules (Sigma Pharmaceuticals Plc)
212634e11,Ciclosporin 50mg capsules (Sigma Pharmaceuticals Plc)
218355e11,Ciclosporin 50mg capsules (Cubic Pharmaceuticals Ltd)
218356e11,Ciclosporin 50mg capsules (Cubic Pharmaceuticals Ltd)
224085e11,Ciclosporin 50mg capsules (DE Pharmaceuticals)
224086e11,Ciclosporin 50mg capsules (DE Pharmaceuticals)
226044e11,Ciclosporin 50mg capsules (Colorama Pharmaceuticals Ltd)
226045e11,Ciclosporin 50mg capsules (Colorama Pharmaceuticals Ltd)
234286e11,Ciclosporin 50mg capsules (J M McGill Ltd)
234287e11,Ciclosporin 50mg capsules (J M McGill Ltd)
239367e11,Ciclosporin 50mg capsules (Niche Pharma Ltd)
239369e11,Ciclosporin 50mg capsules (Niche Pharma Ltd)
241579e11,Ciclosporin 50mg capsules (Ethigen Ltd)
24158e12,Ciclosporin 50mg capsules (Ethigen Ltd)
245201e11,Ciclosporin 50mg capsules (Mawdsley-Brooks & Company Ltd)
245202e11,Ciclosporin 50mg capsules (Mawdsley-Brooks & Company Ltd)
256947e11,Ciclosporin 50mg capsules (Icarus Pharmaceuticals Ltd)
256949e11,Ciclosporin 50mg capsules (Icarus Pharmaceuticals Ltd)
260222e11,Ciclosporin 50mg capsules (Ennogen Healthcare Ltd)
260241e11,Ciclosporin 50mg capsules (Ennogen Healthcare Ltd)
281233e11,Ciclosporin 50mg capsules (Pharma-z Ltd)
281234e11,Ciclosporin 50mg capsules (Pharma-z Ltd)
283374e11,Vanquoral 50mg capsules (Teva UK Ltd)
28338e12,Vanquoral 50mg capsules (Teva UK Ltd)
327083007,Ciclosporin 100mg capsules
115501e10,Ciclosporin 100mg capsules
236773e11,Ciclosporin 100mg capsules
172611000000000,Sandimmun 100mg capsules (Novartis Pharmaceuticals UK Ltd)
235501e10,Sandimmun 100mg capsules (Novartis Pharmaceuticals UK Ltd)
456811000000000,Neoral 100mg capsules (Novartis Pharmaceuticals UK Ltd)
235511e10,Neoral 100mg capsules (Novartis Pharmaceuticals UK Ltd)
163069e11,Deximune 100mg capsules (Dexcel-Pharma Ltd)
16307e12,Deximune 100mg capsules (Dexcel-Pharma Ltd)
165509e11,Ciclosporin 100mg capsules (A A H Pharmaceuticals Ltd)
16551e12,Ciclosporin 100mg capsules (A A H Pharmaceuticals Ltd)
176658e11,Capimune 100mg capsules (Mylan)
176659e11,Capimune 100mg capsules (Mylan)
17857e12,Ciclosporin 100mg capsules (Phoenix Healthcare Distribution Ltd)
178571e11,Ciclosporin 100mg capsules (Phoenix Healthcare Distribution Ltd)
193769e11,Capsorin 100mg capsules (Morningside Healthcare Ltd)
19377e12,Capsorin 100mg capsules (Morningside Healthcare Ltd)
212635e11,Ciclosporin 100mg capsules (Sigma Pharmaceuticals Plc)
212636e11,Ciclosporin 100mg capsules (Sigma Pharmaceuticals Plc)
218353e11,Ciclosporin 100mg capsules (Cubic Pharmaceuticals Ltd)
218354e11,Ciclosporin 100mg capsules (Cubic Pharmaceuticals Ltd)
224087e11,Ciclosporin 100mg capsules (DE Pharmaceuticals)
224088e11,Ciclosporin 100mg capsules (DE Pharmaceuticals)
22604e12,Ciclosporin 100mg capsules (Colorama Pharmaceuticals Ltd)
226041e11,Ciclosporin 100mg capsules (Colorama Pharmaceuticals Ltd)
234282e11,Ciclosporin 100mg capsules (J M McGill Ltd)
234283e11,Ciclosporin 100mg capsules (J M McGill Ltd)
239363e11,Ciclosporin 100mg capsules (Niche Pharma Ltd)
239364e11,Ciclosporin 100mg capsules (Niche Pharma Ltd)
241135e11,Ciclosporin 100mg capsules (Lexon (UK) Ltd)
241139e11,Ciclosporin 100mg capsules (Lexon (UK) Ltd)
241581e11,Ciclosporin 100mg capsules (Ethigen Ltd)
241582e11,Ciclosporin 100mg capsules (Ethigen Ltd)
245203e11,Ciclosporin 100mg capsules (Mawdsley-Brooks & Company Ltd)
245204e11,Ciclosporin 100mg capsules (Mawdsley-Brooks & Company Ltd)
256951e11,Ciclosporin 100mg capsules (Icarus Pharmaceuticals Ltd)
256953e11,Ciclosporin 100mg capsules (Icarus Pharmaceuticals Ltd)
260191e11,Ciclosporin 100mg capsules (Ennogen Healthcare Ltd)
260194e11,Ciclosporin 100mg capsules (Ennogen Healthcare Ltd)
281222e11,Ciclosporin 100mg capsules (Pharma-z Ltd)
281225e11,Ciclosporin 100mg capsules (Pharma-z Ltd)
283389e11,Vanquoral 100mg capsules (Teva UK Ltd)
283391e11,Vanquoral 100mg capsules (Teva UK Ltd)
327103006,Tacrolimus 500microgram capsules
109951e10,Tacrolimus 500microgram capsules
111598e11,Tacrolimus 500microgram capsules
212045e11,Tacrolimus 500microgram capsules
656111000000000,Prograf 500microgram capsules (Astellas Pharma Ltd)
236761e10,Prograf 500microgram capsules (Astellas Pharma Ltd)
180448e11,Adoport 0.5mg capsules (Sandoz Ltd)
180449e11,Adoport 0.5mg capsules (Sandoz Ltd)
18618e12,Vivadex 0.5mg capsules (Dexcel-Pharma Ltd)
186181e11,Vivadex 0.5mg capsules (Dexcel-Pharma Ltd)
186434e11,Tacrolimus 500microgram capsules (A A H Pharmaceuticals Ltd)
186435e11,Tacrolimus 500microgram capsules (A A H Pharmaceuticals Ltd)
192938e11,Tacni 0.5mg capsules (Teva UK Ltd)
192939e11,Tacni 0.5mg capsules (Teva UK Ltd)
194968e11,Capexion 0.5mg capsules (Mylan)
194969e11,Capexion 0.5mg capsules (Mylan)
235637e11,Perixis 0.5mg capsules (Accord Healthcare Ltd)
235638e11,Perixis 0.5mg capsules (Accord Healthcare Ltd)
327096008,Tacrolimus 1mg capsules
127251e10,Tacrolimus 1mg capsules
119591e10,Tacrolimus 1mg capsules
549121e10,Tacrolimus 1mg capsules
111596e11,Tacrolimus 1mg capsules
209911000000000,Prograf 1mg capsules (Astellas Pharma Ltd)
236821e10,Prograf 1mg capsules (Astellas Pharma Ltd)
236841e10,Prograf 1mg capsules (Astellas Pharma Ltd)
180444e11,Adoport 1mg capsules (Sandoz Ltd)
180445e11,Adoport 1mg capsules (Sandoz Ltd)
180447e11,Adoport 1mg capsules (Sandoz Ltd)
186177e11,Vivadex 1mg capsules (Dexcel-Pharma Ltd)
186178e11,Vivadex 1mg capsules (Dexcel-Pharma Ltd)
186179e11,Vivadex 1mg capsules (Dexcel-Pharma Ltd)
186437e11,Tacrolimus 1mg capsules (A A H Pharmaceuticals Ltd)
186438e11,Tacrolimus 1mg capsules (A A H Pharmaceuticals Ltd)
186439e11,Tacrolimus 1mg capsules (A A H Pharmaceuticals Ltd)
19294e12,Tacni 1mg capsules (Teva UK Ltd)
192941e11,Tacni 1mg capsules (Teva UK Ltd)
192944e11,Tacni 1mg capsules (Teva UK Ltd)
19497e12,Capexion 1mg capsules (Mylan)
194979e11,Capexion 1mg capsules (Mylan)
194971e11,Capexion 1mg capsules (Mylan)
23564e12,Perixis 1mg capsules (Accord Healthcare Ltd)
235642e11,Perixis 1mg capsules (Accord Healthcare Ltd)
235645e11,Perixis 1mg capsules (Accord Healthcare Ltd)
327097004,Tacrolimus 5mg capsules
987411000000000,Tacrolimus 5mg capsules
236059e11,Tacrolimus 5mg capsules
379938e11,Tacrolimus 5mg capsules
752211000000000,Prograf 5mg capsules (Astellas Pharma Ltd)
236861e10,Prograf 5mg capsules (Astellas Pharma Ltd)
180442e11,Adoport 5mg capsules (Sandoz Ltd)
180443e11,Adoport 5mg capsules (Sandoz Ltd)
186182e11,Vivadex 5mg capsules (Dexcel-Pharma Ltd)
186183e11,Vivadex 5mg capsules (Dexcel-Pharma Ltd)
186447e11,Tacrolimus 5mg capsules (A A H Pharmaceuticals Ltd)
186449e11,Tacrolimus 5mg capsules (A A H Pharmaceuticals Ltd)
192942e11,Tacni 5mg capsules (Teva UK Ltd)
192943e11,Tacni 5mg capsules (Teva UK Ltd)
19498e12,Capexion 5mg capsules (Mylan)
194981e11,Capexion 5mg capsules (Mylan)
235646e11,Perixis 5mg capsules (Accord Healthcare Ltd)
235647e11,Perixis 5mg capsules (Accord Healthcare Ltd)
330037008,Hydroxychloroquine 200mg tablets
101881e10,Hydroxychloroquine 200mg tablets
663811000000000,Plaquenil 200mg tablets (Sanofi)
238431e10,Plaquenil 200mg tablets (Sanofi)
160547e11,Hydroxychloroquine 200mg tablets (Bristol Laboratories Ltd)
160548e11,Hydroxychloroquine 200mg tablets (Bristol Laboratories Ltd)
170422e11,Quinoric 200mg tablets (Bristol Laboratories Ltd)
170423e11,Quinoric 200mg tablets (Bristol Laboratories Ltd)
171763e11,Hydroxychloroquine 200mg tablets (A A H Pharmaceuticals Ltd)
171765e11,Hydroxychloroquine 200mg tablets (A A H Pharmaceuticals Ltd)
181092e11,Hydroxychloroquine 200mg tablets (Phoenix Healthcare Distribution Ltd)
181093e11,Hydroxychloroquine 200mg tablets (Phoenix Healthcare Distribution Ltd)
204769e11,Hydroxychloroquine 200mg tablets (Teva UK Ltd)
20477e12,Hydroxychloroquine 200mg tablets (Teva UK Ltd)
205072e11,Hydroxychloroquine 200mg tablets (Alliance Healthcare (Distribution) Ltd)
205073e11,Hydroxychloroquine 200mg tablets (Alliance Healthcare (Distribution) Ltd)
205658e11,Hydroxychloroquine 200mg tablets (Blackrock Pharmaceuticals Ltd)
205659e11,Hydroxychloroquine 200mg tablets (Blackrock Pharmaceuticals Ltd)
22045e12,Hydroxychloroquine 200mg tablets (Waymade Healthcare Plc)
220451e11,Hydroxychloroquine 200mg tablets (Waymade Healthcare Plc)
241554e11,Hydroxychloroquine 200mg tablets (DE Pharmaceuticals)
241555e11,Hydroxychloroquine 200mg tablets (DE Pharmaceuticals)
297194e11,Hydroxychloroquine 200mg tablets (Zentiva)
297195e11,Hydroxychloroquine 200mg tablets (Zentiva)
298744e11,Hydroxychloroquine 200mg tablets (Sigma Pharmaceuticals Plc)
298745e11,Hydroxychloroquine 200mg tablets (Sigma Pharmaceuticals Plc)
324078e11,Hydroxychloroquine 200mg tablets (Kent Pharmaceuticals Ltd)
324079e11,Hydroxychloroquine 200mg tablets (Kent Pharmaceuticals Ltd)
370908e11,Hydroxychloroquine 200mg tablets (Mawdsley-Brooks & Company Ltd)
37091e12,Hydroxychloroquine 200mg tablets (Mawdsley-Brooks & Company Ltd)
383759e11,Hydroxychloroquine 200mg tablets (Ipca Laboratories UK Ltd)
38376e12,Hydroxychloroquine 200mg tablets (Ipca Laboratories UK Ltd)
387341e11,Hydroxychloroquine 200mg tablets (Accord Healthcare Ltd)
387342e11,Hydroxychloroquine 200mg tablets (Accord Healthcare Ltd)
389465e11,Hydroxychloroquine 200mg tablets (Medihealth (Northern) Ltd)
389466e11,Hydroxychloroquine 200mg tablets (Medihealth (Northern) Ltd)
326991007,Hydroxycarbamide 500mg capsules
977211000000000,Hydroxycarbamide 500mg capsules
708911000000000,Hydrea 500mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)
239071e10,Hydrea 500mg capsules (Bristol-Myers Squibb Pharmaceuticals Ltd)
106157e11,Hydroxycarbamide 500mg capsules (medac UK)
106158e11,Hydroxycarbamide 500mg capsules (medac UK)
109865e11,Hydroxycarbamide 500mg capsules (A A H Pharmaceuticals Ltd)
109867e11,Hydroxycarbamide 500mg capsules (A A H Pharmaceuticals Ltd)
179308e11,Hydroxycarbamide 500mg capsules (Phoenix Healthcare Distribution Ltd)
179309e11,Hydroxycarbamide 500mg capsules (Phoenix Healthcare Distribution Ltd)
184466e11,Hydroxycarbamide 500mg capsules (Alliance Healthcare (Distribution) Ltd)
184467e11,Hydroxycarbamide 500mg capsules (Alliance Healthcare (Distribution) Ltd)
330026007,Penicillamine 125mg tablets
110191e10,Penicillamine 125mg tablets
942611000000000,Penicillamine 125mg tablets
900111000000000,Penicillamine 125mg tablets (A A H Pharmaceuticals Ltd)
245891e10,Penicillamine 125mg tablets (A A H Pharmaceuticals Ltd)
98511000000000,Distamine 125mg tablets (Alliance Pharmaceuticals Ltd)
245901e10,Distamine 125mg tablets (Alliance Pharmaceuticals Ltd)
841011000000000,Penicillamine 125mg tablets (Actavis UK Ltd)
245911e10,Penicillamine 125mg tablets (Actavis UK Ltd)
690211000000000,Penicillamine 125mg tablets (Teva UK Ltd)
245941e10,Penicillamine 125mg tablets (Teva UK Ltd)
745811000000000,Penicillamine 125mg tablets (Mylan)
245961e10,Penicillamine 125mg tablets (Mylan)
498611000000000,Penicillamine 125mg tablets (Kent Pharmaceuticals Ltd)
245971e10,Penicillamine 125mg tablets (Kent Pharmaceuticals Ltd)
483011000000000,Penicillamine 125mg tablets (Alliance Healthcare (Distribution) Ltd)
245981e10,Penicillamine 125mg tablets (Alliance Healthcare (Distribution) Ltd)
179539e11,Penicillamine 125mg tablets (Phoenix Healthcare Distribution Ltd)
17954e12,Penicillamine 125mg tablets (Phoenix Healthcare Distribution Ltd)
218425e11,Penicillamine 125mg tablets (Waymade Healthcare Plc)
218427e11,Penicillamine 125mg tablets (Waymade Healthcare Plc)
299831e11,Penicillamine 125mg tablets (Sigma Pharmaceuticals Plc)
