code,description,type
79290,Percutaneous Transluminal Laser Coronary Angioplasty,CTV3
79291,Percut Transluminal Coronary Thrombolysis With Streptokinase,CTV3
79291,Percut Transluminal Coronary Thrombolysis With Streptokinase,CTV3
79292,Percut Translum Inject Therap Subst To Coronary Artery Nec,CTV3
79293,Percutaneous Rotational Coronary Endarterectomy,CTV3
7929y,Other Therapeutic Transluminal Op On Coronary Artery Os,CTV3
7929z,Other Therapeutic Transluminal Op On Coronary Artery Nos,CTV3
792A.,Diagnostic Transluminal Operations On Coronary Artery,CTV3
792A0,Percutaneous Transluminal Angioscopy,CTV3
792Ay,Diagnostic Transluminal Operation On Coronary Artery Os,CTV3
792Az,Diagnostic Transluminal Operation On Coronary Artery Nos,CTV3
792B.,Repair Of Coronary Artery Nec,CTV3
792B0,Endarterectomy Of Coronary Artery Nec,CTV3
792By,Other Specified Repair Of Coronary Artery,CTV3
792Bz,Repair Of Coronary Artery Nos,CTV3
792C.,Other Replacement Of Coronary Artery,CTV3
792C0,Replacement Of Coronary Arteries Using Multiple Methods,CTV3
792Cy,Other Specified Replacement Of Coronary Artery,CTV3
792Cz,Replacement Of Coronary Artery Nos,CTV3
792D.,Other Bypass Of Coronary Artery,CTV3
792Dy,Other Specified Other Bypass Of Coronary Artery,CTV3
792Dz,Other Bypass Of Coronary Artery Nos,CTV3
792y.,Other Specified Operations On Coronary Artery,CTV3
792z.,Coronary Artery Operations Nos,CTV3
79332,Transluminal Maintenance Of Heart Assist System,CTV3
C3733,Familial Amyloid Cardiomyopathy,CTV3
D4102,Polycythaemia Due To Cyanotic Heart Disease,CTV3
G1...,Chronic Rheumatic Heart Disease,CTV3
G10..,Chronic Rheumatic Pericarditis,CTV3
G100.,Adherent Rheumatic Pericardium,CTV3
G101.,Chronic Rheumatic Mediastinopericarditis,CTV3
G102.,Chronic Rheumatic Myopericarditis,CTV3
G10z.,Chronic Rheumatic Pericarditis Nos,CTV3
G14..,Other Chronic Rheumatic Endocardial Disease,CTV3
G1y..,Other Specified Chronic Rheumatic Heart Disease,CTV3
G1yz.,Other And Unspecified Rheumatic Heart Disease,CTV3
G1yz0,Rheumatic Heart Disease Unspecified,CTV3
G1yz1,Rheumatic Left Ventricular Failure,CTV3
G1yzz,Other Rheumatic Heart Disease Nos,CTV3
G1z..,Chronic Rheumatic Heart Disease Nos,CTV3
G21..,Hypertensive Heart Disease,CTV3
G210.,Malignant Hypertensive Heart Disease,CTV3
G2100,Malignant Hypertensive Heart Disease Without Ccf,CTV3
G2101,Malignant Hypertensive Heart Disease With Ccf,CTV3
G210z,Malignant Hypertensive Heart Disease Nos,CTV3
G211.,Benign Hypertensive Heart Disease,CTV3
G2110,Benign Hypertensive Heart Disease Without Ccf,CTV3
G2111,Benign Hypertensive Heart Disease With Ccf,CTV3
G211z,Benign Hypertensive Heart Disease Nos,CTV3
G21z.,Hypertensive Heart Disease Nos,CTV3
G21z0,"Hypertensiv:[Cardiomeg][Heart Dis Nos, No Congest Card Fail]",CTV3
G21z1,Hypertensive Heart Disease Nos With Ccf,CTV3
G23..,Hypertensive Heart And Renal Disease,CTV3
G230.,Malignant Hypertensive Heart And Renal Disease,CTV3
G231.,Benign Hypertensive Heart And Renal Disease,CTV3
G232.,Hypertensive Heart&Renal Dis Wth (Congestive) Heart Failure,CTV3
G233.,Hypertensive Heart And Renal Disease With Renal Failure,CTV3
G234.,Hyperten Heart&Renal Dis+Both(Congestv)Heart And Renal Fail,CTV3
G23z.,Hypertensive Heart And Renal Disease Nos,CTV3
G3...,Ischaemic Heart Disease (& [Arteriosclerotic]),CTV3
G30..,(Myocard Inf (& [Ac][Silent][Card Rupt])) Or (Coron Thromb),CTV3
G300.,Acute Anterolateral Myocardial Infarction,CTV3
G301.,Other Specified Anterior Myocardial Infarction,CTV3
G3010,Acute Anteroapical Infarction,CTV3
G3011,Acute Anteroseptal Myocardial Infarction,CTV3
G301z,Anterior Myocardial Infarction Nos,CTV3
G302.,Acute Inferolateral Myocardial Infarction,CTV3
G303.,Acute Inferoposterior Infarction,CTV3
G304.,Posterior Myocardial Infarction Nos,CTV3
G305.,Lateral Myocardial Infarction Nos,CTV3
G306.,True Posterior Myocardial Infarction,CTV3
G307.,Acute Subendocardial Infarction,CTV3
G308.,Inferior Myocardial Infarction Nos,CTV3
G30y.,Other Acute Myocardial Infarction,CTV3
G30y0,Acute Atrial Infarction,CTV3
G30y1,Acute Papillary Muscle Infarction,CTV3
G30y2,Acute Septal Infarction,CTV3
G30yz,Other Acute Myocardial Infarction Nos,CTV3
G30z.,Acute Myocardial Infarction Nos,CTV3
G31..,Other Acute And Subacute Ischaemic Heart Disease,CTV3
G310.,Post-Myocardial Infarction Syndrome,CTV3
G310.,Post-Myocardial Infarction Syndrome,CTV3
G311.,(Angina:[Cresc][Unstabl][At Rest])(Preinfar Syn)(Imp Infarc),CTV3
G3110,Aborted Myocardial Infarction,CTV3
G3110,Aborted Myocardial Infarction,CTV3
G311z,Preinfarction Syndrome Nos,CTV3
G312.,Coronary Thrombosis Not Resulting In Myocardial Infarction,CTV3
G31y0,Acute Coronary Insufficiency,CTV3
G31y1,Microinfarction Of Heart,CTV3
G31y2,Subendocardial Ischaemia,CTV3
G31yz,Other Acute And Subacute Ischaemic Heart Disease Nos,CTV3
G32..,Myocard Infarct: [Old] Or [Healed] Or [Personal History Of],CTV3
G33..,Angina,CTV3
G330.,Angina Decubitus,CTV3
G3300,Nocturnal Angina,CTV3
G330z,Angina Decubitus Nos,CTV3
G331.,Prinzmetal's Angina,CTV3
G331.,Prinzmetal's Angina,CTV3
G33z.,Angina Pectoris Nos,CTV3
G33z0,Status Anginosus,CTV3
G33z1,Stenocardia,CTV3
G33z2,Syncope Anginosa,CTV3
G33z3,Exercise-Induced Angina,CTV3
G33zz,Angina Pectoris Nos,CTV3
G34..,Other Chronic Ischaemic Heart Disease,CTV3
G340.,Coronary (Atheroscl Or Artery Dis) Or Triple Vess Dis Heart,CTV3
G3400,Single Coronary Vessel Disease,CTV3
G3401,Double Coronary Vessel Disease,CTV3
G341.,Aneurysm Of Heart,CTV3
G3410,Ventricular Cardiac Aneurysm,CTV3
G3411,Mural Cardiac Aneurysm (& [Other]),CTV3
G3412,Coronary Artery Aneurysm,CTV3
G3413,Acquired Atrioventricular Fistula Of Heart,CTV3
G341z,Aneurysm Of Heart Nos,CTV3
G343.,Generalised Ischaemic Myocardial Dysfunction,CTV3
G34y.,Other Specified Chronic Ischaemic Heart Disease,CTV3
G34y0,Chronic Myocardial Ischaemia,CTV3
G34y1,Chronic Myocardial Ischaemia,CTV3
G34yz,Other Specified Chronic Ischaemic Heart Disease Nos,CTV3
G34z.,Other Chronic Ischaemic Heart Disease Nos,CTV3
G35..,Subsequent Myocardial Infarction,CTV3
G350.,Subsequent Myocardial Infarction Of Anterior Wall,CTV3
G351.,Subsequent Myocardial Infarction Of Inferior Wall,CTV3
G353.,Subsequent Myocardial Infarction Of Other Sites,CTV3
G36..,Certain Current Complication Follow Acute Myocardial Infarct,CTV3
G360.,Haemopericardium/Current Comp Folow Acut Myocard Infarct,CTV3
G361.,Atrial Septal Defect/Curr Comp Folow Acut Myocardal Infarct,CTV3
G363.,Ruptur Cardiac Wall W'out Haemopericard/Cur Comp Fol Ac Mi,CTV3
G364.,Ruptur Chordae Tendinae/Curr Comp Fol Acute Myocard Infarct,CTV3
G365.,Rupture Papillary Muscle/Curr Comp Fol Acute Myocard Infarct,CTV3
G366.,"Thrombosis Atrium,Auric Append&Vent/Curr Comp Foll Acute Mi",CTV3
G3y..,Other Specified Ischaemic Heart Disease,CTV3
G3z..,Ischaemic Heart Disease Nos,CTV3
G400.,Acute Cor Pulmonale,CTV3
G41..,Chronic Pulmonary Heart Disease,CTV3
G41y.,Other Chronic Pulmonary Heart Disease,CTV3
G41yz,Other Chronic Pulmonary Heart Disease Nos,CTV3
G41z.,Chronic Cor Pulmonale (& [Nos]),CTV3
G5102,Chronic Bacterial Endocarditis,CTV3
G54z2,Chronic Cardiac Valvulitis Nos,CTV3
G55..,Cardiomyopathy,CTV3
G550.,Restrictive Cardiomyopathy With Endomyocardial Fibrosis,CTV3
G551.,Hypertrophic Obstructive Cardiomyopathy,CTV3
G552.,(Becker's Disease) Or (Obscure African Cardiomyopathy),CTV3
G554.,Other Primary Cardiomyopathies,CTV3
G5540,(Congestive Obstructive) Or (Congestive Cardiomyopathy),CTV3
G5541,Restrictive Cardiomyopathy,CTV3
G5542,Familial Cardiomyopathy,CTV3
G5543,Hypertrophic Cardiomyopathy Without Obstruction,CTV3
G5544,Primary Dilated Cardiomyopathy,CTV3
G554z,Other Primary Cardiomyopathy Nos,CTV3
G555.,Alcohol-Induced Heart Muscle Disease,CTV3
G557.,Nutritional And Metabolic Cardiomyopathies,CTV3
G5572,Cardiac Glycogenosis,CTV3
G5574,Mucopolysaccharidosis Cardiomyopathy,CTV3
G557z,(Heart:[Fat Infil][Fat Degen]) Or (Nutr/Met Cardmyopath Nos),CTV3
G558.,Cardiomyopathy In Disease Ec,CTV3
G5580,Cardiomyopathy In Friedreich's Ataxia,CTV3
G5581,Cardiomyopathy In Myotonic Dystrophy,CTV3
G5582,Dystrophic Cardiomyopathy,CTV3
G558z,"Cardiomyopathy In Diseases Ec, Nos",CTV3
G55y.,Secondary Cardiomyopathy: [Dilated] Or [Nos],CTV3
G55y0,Cardiomyopathy Due To Drugs And Other External Agents,CTV3
G55z.,Cardiomyopathy Nos,CTV3
G58..,Heart Failure,CTV3
G58..,Heart Failure,CTV3
G580.,Heart Failure: [Right] Or [Congestive],CTV3
G5800,Acute Congestive Heart Failure,CTV3
G5801,Chronic Congestive Heart Failure,CTV3
G5802,Decompensated Cardiac Failure,CTV3
G5803,Compensated Cardiac Failure,CTV3
G581.,(L Ventric:[Fail][Imp Func]) Or (Card Asth) Or (Ac Pulm Oed),CTV3
G5810,Acute Left Ventricular Failure,CTV3
G582.,Acute Heart Failure,CTV3
G58z.,Heart: [Weak] Or [Failure Nos],CTV3
G5y1.,Myocardial Degeneration,CTV3
G5y2.,Cardiovascular Arteriosclerosis Unspecified,CTV3
G5y4.,Post Cardiac Operation Functional Disturbance,CTV3
G5y40,Postcardiotomy Syndrome,CTV3
G5y4z,Post Cardiac Operation Heart Failure Nos,CTV3
G5yy6,Atrial Thrombosis,CTV3
G700.,(Aortic Atherosclerosis) Or (Aorto-Iliac Disease),CTV3
Gyu14,[X]Other Specified Rheumatic Heart Diseases,CTV3
Gyu30,[X]Other Forms Of Angina Pectoris,CTV3
Gyu31,[X]Other Current Complicatns Following Acute Myocard Infarct,CTV3
Gyu32,[X]Other Forms Of Acute Ischaemic Heart Disease,CTV3
Gyu33,[X]Other Forms Of Chronic Ischaemic Heart Disease,CTV3
Gyu34,[X]Acute Transmural Myocardial Infarction Of Unspecif Site,CTV3
Gyu35,[X]Subsequent Myocardial Infarction Of Other Sites,CTV3
Gyu36,[X]Subsequent Myocardial Infarction Of Unspecified Site,CTV3
Gyu5M,[X]Other Hypertrophic Cardiomyopathy,CTV3
Gyu5N,[X]Other Restrictive Cardiomyopathy,CTV3
Gyu5P,[X]Other Cardiomyopathies,CTV3
Gyu5Q,[X]Cardiomyopathy In Infectious+Parasitic Diseases Ce,CTV3
Gyu5R,[X]Cardiomyopathy In Metabolic Diseases Classified Elsewhere,CTV3
Gyu5S,[X]Cardiomyopathy In Nutritional Diseases Ce,CTV3
Gyu5T,[X]Cardiomyopathy In Other Diseases Classified Elsewhere,CTV3
H541z,Pulmonary Oedema Nos,CTV3
H584.,Acute Pulmonary Oedema Unspecified,CTV3
H584z,Acute Pulmonary Oedema Nos,CTV3
L09y1,Cardiac Arrest Following Abortive Pregnancy,CTV3
L09y2,Cardiac Failure Following Abortive Pregnancy,CTV3
L1280,Pre-Exist Hyperten Heart Dis Compl Preg Childbth+Puerperium,CTV3
L1281,Pre-Exist Hyperten Heart Renal Dis Comp Preg Chldbirth/Puerp,CTV3
P50..,Aortopulmonary Septal Anomaly (& [Common Trunk] Or [Defect]),CTV3
P50z.,Common Aortopulmonary Trunk Nos,CTV3
P51..,Discordant Ventriculoarterial Connection,CTV3
P510.,Total Great Vessel Transposition,CTV3
P511.,Double Outlet Right Ventricle,CTV3
P5110,"Double Outlet Right Ventricle, Unspecified",CTV3
P5111,Dextratransposition Of Aorta,CTV3
P5112,Incomplete Great Vessel Transposition,CTV3
P5113,Double Outlet Rt Ventricle + Subpulm Ventriculr Septl Defect,CTV3
P511z,Double Outlet Right Ventricle Nos,CTV3
P512.,Congenitally Corrected Transposition Of Great Arteries,CTV3
P51y.,(Oth Spec Transposit Great Vessels) Or (Transposit Of Aorta),CTV3
P51z.,(Great Vessel Transpos Nos) Or (Transpos Arterial Trunk Nec),CTV3
P52..,Tetralogy Of Fallot,CTV3
P520.,Tetralog Fallot: [Unsp][Ventric Sept Def][Dextraposit Aorta],CTV3
P521.,Pentalogy Of Fallot,CTV3
P52z.,Tetralogy Of Fallot Nos,CTV3
P53..,[Common] And [Ventricle],CTV3
P54..,Ventricular Septal Defect,CTV3
P540.,"Ventricular Septal Defect, Unspecified",CTV3
P541.,Interventricular Septal Defect,CTV3
P542.,Right Sided Atrium Connecting To Left Ventricle,CTV3
P543.,Eisenmenger's Complex,CTV3
P544.,Vent Septal Defect Between Left Ventricle And Right Atrium,CTV3
P545.,Small Ventricular Septal Defect,CTV3
P54y.,Other Specified Ventricular Septal Defect,CTV3
P54z.,Ventricular Septal Defect Nos,CTV3
P550.,Septal Def: [Interaur][Atrial Nos][Auric Nos][Interatr Nec],CTV3
P553.,Lutembacher's Syndrome,CTV3
P56..,Endocardial Cushion Defects,CTV3
P560.,"Endocardial Cushion Defects, Unspecified",CTV3
P56y.,Other Specified Endocardial Cushion Defects,CTV3
P56z.,Endocardial Cushion Defects Nos,CTV3
P56z2,Common Atrioventricular-Type Ventricular Septal Defect,CTV3
P57..,Cor Biloculare,CTV3
P5y..,Other Heart Bulb And Septal Closure Defect,CTV3
P5z..,Heart Bulb Or Septal Closure Defects Nos,CTV3
P6...,Other Congenital Heart Anomalies,CTV3
P60..,Congenital Pulmonary Valve Abnormality,CTV3
P600.,"Pulmonary Valve Anomaly, Unspecified",CTV3
P601.,Congenital Atresia Of The Pulmonary Valve,CTV3
P6010,Hypoplasia Of Pulmonary Valve,CTV3
P601z,Congenital Atresia Of Pulmonary Valve Nos,CTV3
P602.,Congenital Pulmonary Valve Stenosis,CTV3
P6020,Congenital Fusion Of Pulmonic Cusps,CTV3
P6021,Congenital Fusion Of Pulmonary Valve Segment,CTV3
P602z,Congenital Pulmonary Stenosis Nos,CTV3
P603.,(Right Hypoplastic Heart Synd) Or (Pseudotruncus Arteriosus),CTV3
P60z.,Other Pulmonary Valve Anomalies,CTV3
P60z0,Congenital Insufficiency Of The Pulmonary Valve,CTV3
P60z1,Fallot's Trilogy,CTV3
P60z2,Supernumerary Pulmonary Valve Cusps,CTV3
P60zz,Other Pulmonary Valve Anomaly Nos,CTV3
P61..,Congenital Tricuspid Atresia And Stenosis,CTV3
P610.,Tricuspid Atresia,CTV3
P611.,Congenital Tricuspid Stenosis,CTV3
P61z.,Congenital Tricuspid Atresia Or Stenosis Nos,CTV3
P62..,Ebstein's Anomaly Of Tricuspid Valve,CTV3
P63..,Congenital Aortic Valve Stenosis,CTV3
P64..,Congenital Aortic Valve Insufficiency,CTV3
P640.,"Congenital Aortic Valve Insufficiency, Unspecified",CTV3
P641.,Bicuspid Aortic Valve,CTV3
P64z.,Congenital Aortic Valve Insufficiency Nos,CTV3
P65..,Congenital Mitral Stenosis,CTV3
P650.,"Congenital Mitral Stenosis, Unspecified",CTV3
P651.,Fused Commissure Of The Mitral Valve,CTV3
P652.,Parachute Malformation Of Mitral Valve,CTV3
P653.,Supernumerary Cusps Of The Mitral Valve,CTV3
P65z.,Congenital Mitral Stenosis Nos,CTV3
P66..,Congenital Mitral Regurgitation,CTV3
P67..,Hypoplastic Left Heart Syndrome,CTV3
P6y..,Other Specified Heart Anomalies,CTV3
P6y0.,Subaortic Stenosis,CTV3
P6y1.,Cor Triatriatum,CTV3
P6y2.,Pulmonary Infundibular Stenosis,CTV3
P6y3.,Obstructive Heart Anomaly Nec,CTV3
P6y30,Paper Thin Right Ventricle,CTV3
P6y3z,Obstructive Heart Anomaly Nec Nos,CTV3
P6y4.,Coronary Artery Abnormality,CTV3
P6y40,Congenital Absence Of Coronary Artery,CTV3
P6y41,Single Coronary Artery,CTV3
P6y42,Coronary Artery From Aorta,CTV3
P6y43,Anomalous Origin Of Coronary Artery From Pulmonary Trunk,CTV3
P6y44,Anomalous Congen Coronary Communication (& Arteriovenous),CTV3
P6y45,Congenital Coronary Aneurysm,CTV3
P6y46,Congenital Stricture Of Coronary Artery,CTV3
P6y4z,Coronary Artery Anomaly Nos,CTV3
P6y60,Heart Predominantly In Right Hemithorax,CTV3
P6y62,Mesocardia,CTV3
P6y63,Extrathoracic Heart,CTV3
P6y64,Abdominal Heart,CTV3
P6y6z,Heart Or Cardiac Apex Malposition Nos,CTV3
P6yy.,(Specif Heart Anom ([Vars]) Or (Hypoplast Aort Orif/Valve),CTV3
P6yy0,Atresia Of Cardiac Vein,CTV3
P6yy1,Hypoplasia Of Cardiac Vein,CTV3
P6yy2,Congenital Cardiomegaly,CTV3
P6yy3,Congenital Left Ventricular Diverticulum,CTV3
P6yy5,Congenital Anomaly Of Myocardium,CTV3
P6yy6,Congenital Aneurysm Of Heart,CTV3
P6yy7,Atresia Of Heart Valve Nec,CTV3
P6yy8,Cor Triloculare,CTV3
P6yy9,Congenital Epicardial Cyst,CTV3
P6yyA,Hemicardia,CTV3
P6yyB,Supernumerary Heart Valve Cusps Nec,CTV3
P6yyD,Fusion Of Heart Valve Cusps Nec (& [Tricuspid]),CTV3
P6yyz,Other Specified Heart Anomalies Nos,CTV3
P6z..,(Congenital Heart Anomaly Nos) Or (Chiari's Malformation),CTV3
P6z0.,Unspecified Anomaly Of Heart Valve,CTV3
P6z2.,Acyanotic Congenital Heart Disease Nos,CTV3
P6zz.,Congenital Heart Anomaly Nos,CTV3
P71..,Aortic Coarctation,CTV3
P710.,"Hypoplasia Of Aortic Arch, Unspecified",CTV3
P713.,Interrupted Aortic Arch,CTV3
P71z.,Coarctation Of Aorta Nos,CTV3
P72..,(Other Anomalies Aorta) Or (Anomalies Aorta Excl Coarction),CTV3
P720.,"Anomaly Of Aorta, Unspecified",CTV3
P7210,Anomalous Origin Of The Aortic Arch,CTV3
P7211,Aorta [Dextraposition] Or [Overriding],CTV3
P7212,(Double Aortic Arch) Or (Vascular Ring),CTV3
P7214,Persistent Aortic Arch Convolutions,CTV3
P7215,Persistent Right Aortic Arch,CTV3
P7216,"Vascular Ring, Aorta",CTV3
P7217,Overriding Aorta,CTV3
P7217,Overriding Aorta,CTV3
P721z,Aortic Arch Anomalies Nos,CTV3
P722.,Atresia And Stenosis Of Aorta,CTV3
P7220,Congenital Absence Of Aorta,CTV3
P7221,Aplasia Of Aorta,CTV3
P7224,Aortic Stenosis: [Supra-Valvula] Or [Congenital Ascending],CTV3
P7225,Atresia Of Aorta,CTV3
P722z,Atresia Or Stenosis Of Aorta Nos,CTV3
P72z.,Other Anomalies Of Aorta Nos,CTV3
P72z0,Sinus Of Valsalva Aneurysm,CTV3
P73..,Pulmonary Artery Abnormality,CTV3
P730.,"Pulmonary Artery Anomaly, Unspecified",CTV3
P731.,Pulmonary Artery Absent,CTV3
